title,genres,is_comedy,is_european,is_scifi,is_action,is_crime,is_drama,is_animation,is_family,is_fantasy,is_music,is_romance,is_reality,is_western,is_thriller,is_horror,is_sport,is_documentation,is_war,is_history
My First First Love,['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Shadow,"['crime', 'action', 'drama', 'thriller']",False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Women of the Night,"['drama', 'crime']",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
(Un)Well,"['documentation', 'reality']",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Abyss,"['scifi', 'crime', 'fantasy', 'romance', 'comedy']",True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
The Naked Director,"['drama', 'comedy']",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Asphalt Burning,"['comedy', 'action', 'european']",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Secret Love,"['documentation', 'drama']",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
SAINT SEIYA: Knights of the Zodiac,"['animation', 'action', 'scifi', 'fantasy']",False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
All My Friends Are Dead,"['comedy', 'drama', 'thriller', 'crime']",True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Rose Island,"['drama', 'comedy']",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Grizzlies,"['drama', 'sport']",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Nadiya Bakes,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Son,['thriller'],False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
American Woman,['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The School Nurse Files,"['scifi', 'fantasy', 'comedy', 'drama']",True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Skylines,"['crime', 'drama', 'music', 'documentation', 'reality']",False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False
Kidnapping Stella,"['crime', 'thriller']",False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Jim Jefferies: Intolerant,['comedy'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Work It,"['comedy', 'music']",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Burning Cane,['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A Sun,"['crime', 'drama']",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A Babysitter's Guide to Monster Hunting,"['fantasy', 'family', 'comedy']",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
